,away_team.statistics.fumbles.team.lost,away_team.statistics.kickoffs.team.ret,away_team.statistics.fourth_down_efficiency.team.att,away_team.statistics.passing.team.rating,home_team.statistics.kickoffs.team.kicks,home_team.statistics.fourth_down_efficiency.team.att,home_team.statistics.passing.team.rating
428,0,3,0,118.2,5,2,88.7
429,0,3,0,98.7,4,3,102.0
430,1,2,2,77.4,7,2,139.6
431,0,2,2,72.3,6,0,97.0
440,1,4,1,86.0,5,3,64.2
438,1,4,1,81.4,6,0,95.6
437,0,3,0,116.8,6,1,91.7
436,0,5,2,86.0,8,0,88.6
439,0,8,2,95.2,2,2,59.9
434,0,5,0,95.5,5,2,114.2
433,1,1,0,31.2,6,0,40.4
432,0,3,0,113.1,7,1,120.5
435,3,2,2,60.6,6,3,73.9
441,1,5,3,73.6,9,3,107.8
444,0,3,0,81.9,6,0,67.5
443,1,2,2,72.3,8,0,137.4
442,0,2,1,48.5,5,0,112.1
445,0,1,1,85.4,6,0,124.4
446,0,3,2,112.3,9,0,141.9
447,0,4,0,120.0,5,1,92.4
454,0,3,0,88.6,1,0,37.0
455,1,3,0,102.2,6,0,67.6
453,5,4,0,94.8,6,1,86.5
451,1,1,0,105.0,5,1,73.5
452,0,2,1,42.3,6,1,82.8
449,0,5,1,103.5,9,0,116.6
448,0,5,0,108.8,3,2,75.5
450,0,2,2,85.7,5,2,120.6
456,0,3,0,68.6,7,1,118.9
457,1,5,1,158.3,6,1,53.0
460,0,7,0,100.8,7,0,91.3
458,1,2,4,80.4,6,0,126.7
459,0,2,0,113.1,9,0,80.0
461,1,1,5,86.4,7,2,95.2
462,0,2,0,70.3,4,0,48.0
467,0,5,1,96.8,2,1,57.6
468,0,1,4,82.4,4,3,97.3
466,0,0,2,37.3,4,1,89.2
471,0,2,1,72.5,4,0,81.8
464,1,1,2,32.6,7,2,136.2
463,2,0,2,78.7,6,2,99.6
469,0,1,1,113.2,4,0,48.9
465,0,0,1,24.2,6,0,67.6
470,1,5,2,98.7,6,1,71.2
473,0,5,0,48.8,3,0,49.6
472,1,4,1,71.1,5,0,53.9
475,0,2,0,87.3,2,3,43.9
476,1,6,2,87.9,6,0,69.6
474,1,2,2,60.6,7,0,82.7
477,1,3,3,72.8,9,1,131.7
478,0,3,1,93.1,7,0,108.6
1673,0,3,1,81.5,7,1,110.9
1683,2,1,1,96.7,4,0,109.3
1682,2,3,4,69.7,8,0,79.9
1681,1,1,0,90.7,6,0,128.8
1680,0,3,0,111.4,3,2,45.2
1674,0,1,0,91.7,5,0,86.2
1678,1,1,1,89.9,7,1,87.5
1675,0,1,0,113.8,3,0,66.1
1679,0,2,0,94.7,5,0,95.5
1677,0,2,0,94.0,5,1,103.3
1676,0,4,0,98.7,4,2,71.0
1685,0,2,0,125.5,4,1,60.8
1684,0,2,1,108.7,3,0,71.5
1686,0,1,4,83.1,6,0,111.9
1687,0,0,3,53.0,7,0,125.3
1688,0,3,1,75.9,4,0,108.4
1689,2,0,0,64.8,7,1,109.3
1697,0,1,2,48.6,5,0,123.6
1696,0,3,1,103.1,2,1,39.1
1695,0,1,1,69.5,8,2,109.5
1692,1,2,0,89.3,6,2,79.7
1691,1,5,0,93.5,3,1,60.2
1690,1,3,4,73.6,8,0,98.6
1693,2,0,2,72.5,6,0,100.2
1694,0,6,0,66.3,3,1,83.0
